ID,A1,A2,A3,A4,B1,B2,B3,B4,B5,B6,B7,C1-1,C1-2,C1-3,C1-4,C2-1,C2-2,C2-3,C3-1,C3-2,C3-3,C4-1,C4-2,C4-3,C5-1,C5-2,C6-1,C6-2,C6-3,C6-4,C6-5,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E4,F1,F2,F3,F4,F5,F6
1,3,1,1,2,2,.,2,2,1,1,1,2,2,1,1,3,3,3,3,2,3,3,3,1,4,2,2,3,3,4,3,2,.,2,.,.,.,.,2,2,2,3,2,1,1,3,3,2,1,2
2,4,1,1,2,2,.,2,2,1,1,1,3,3,3,1,3,4,3,4,3,3,3,3,3,4,4,3,3,3,3,3,2,.,2,.,.,.,.,1,1,2,5,3,1,1,3,3,1,2,2
3,2,1,1,.,2,.,5,2,1,1,1,2,1,2,1,3,2,1,3,4,4,3,1,3,3,2,2,1,2,1,2,2,.,2,.,.,.,.,2,2,2,5,1,1,1,3,4,3,2,5
4,2,1,1,.,3,5,.,1,1,2,2,2,1,1,1,1,1,2,3,2,1,2,1,1,3,2,2,2,3,2,2,2,.,2,.,.,.,.,1,1,5,2,3,1,1,3,3,2,2,2
5,5,1,2,3,3,4,.,1,2,4,1,4,2,2,1,3,4,2,4,3,1,3,3,1,2,3,3,2,3,3,1,3,.,.,1,.,.,.,1,5,2,5,4,3,2,3,4,3,2,1
6,1,1,2,.,2,.,1,2,1,1,1,2,3,2,2,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,2,2,.,6,.,.,.,.,1,1,2,5,2,1,1,2,2,3,2,2
7,2,1,1,.,3,1,.,2,1,2,1,2,3,3,1,3,3,3,2,3,2,3,1,2,3,2,3,3,3,3,2,2,.,2,.,.,.,.,1,1,2,5,2,1,1,3,3,3,2,5
8,3,1,1,.,4,1,.,2,1,3,1,3,3,3,1,3,3,3,4,4,2,3,2,2,2,2,2,3,2,1,1,3,.,.,1,.,.,.,2,2,5,3,3,4,1,2,2,2,2,1
9,5,1,2,3,2,.,2,2,1,3,1,3,4,3,3,2,3,1,2,3,3,4,3,3,3,3,3,3,1,2,1,2,.,2,.,.,.,.,1,1,2,3,5,4,1,2,2,2,2,5
10,3,1,2,3,4,5,.,1,1,4,1,3,1,2,1,2,3,1,4,2,2,3,3,1,3,3,3,3,3,2,2,2,.,2,.,.,.,.,1,2,2,3,3,4,2,2,2,1,2,2
11,5,1,2,.,1,.,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,4,4,4,1,2,.,7,.,.,.,.,1,1,4,2,5,5,1,2,2,2,1,1
12,5,1,2,3,3,2,.,1,2,3,1,1,1,2,1,3,1,2,2,3,3,4,2,2,4,3,2,4,3,3,1,2,.,2,.,.,.,.,1,1,2,3,5,4,1,3,3,1,1,2
13,3,1,2,.,2,.,2,2,1,2,1,3,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,2,2,2,3,.,.,1,.,.,.,2,2,3,6,2,3,1,2,2,3,2,1
14,5,1,2,.,2,.,2,1,1,3,1,3,2,2,2,2,2,2,2,3,3,3,2,2,3,2,3,3,3,3,2,2,.,2,.,.,.,.,2,2,2,5,4,4,1,2,1,1,2,1
15,3,1,2,.,3,2,.,1,2,3,1,2,1,1,2,2,2,1,4,4,4,3,1,2,3,2,3,3,1,3,1,2,.,2,.,.,.,.,4,2,2,5,4,3,1,3,4,2,1,4
16,4,1,1,.,2,.,2,2,1,2,1,3,2,2,1,2,4,2,4,4,3,4,3,2,4,4,3,3,3,4,3,3,.,.,1,.,.,.,2,2,2,5,3,1,1,2,2,3,2,5
17,5,3,1,2,3,6,.,2,1,2,1,3,2,2,2,2,2,2,3,3,4,3,3,2,3,2,3,2,3,2,2,2,.,2,.,.,.,.,1,1,1,2,2,4,2,2,2,2,1,1
18,4,1,1,.,3,5,.,2,1,3,1,3,1,1,1,1,1,1,4,3,3,3,3,1,3,1,3,3,2,3,1,3,.,.,4,.,.,.,4,2,3,5,2,5,2,3,3,2,1,2
19,3,1,2,.,3,4,.,1,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,2,3,1,2,.,7,.,.,.,.,1,1,2,5,4,4,1,2,2,2,1,1
20,1,4,3,.,1,.,2,2,2,2,2,3,2,2,3,3,3,2,3,1,3,3,1,3,2,2,3,3,2,3,3,1,3,.,.,.,.,.,3,1,4,5,4,3,1,2,3,2,1,5
21,3,1,1,3,3,5,.,1,2,1,1,3,2,2,1,2,3,2,3,3,3,4,2,2,3,3,2,3,2,3,2,2,.,1,.,.,.,.,1,1,2,5,2,4,1,3,3,2,2,2
22,5,1,1,.,3,1,.,1,1,1,1,3,4,1,1,3,2,1,3,3,2,4,4,1,3,1,2,4,1,2,3,3,.,.,1,.,.,.,1,5,2,5,5,4,1,1,1,1,1,1
23,2,1,2,.,3,4,.,2,1,1,2,3,2,1,1,3,2,1,3,3,1,3,3,3,4,2,2,3,3,3,3,2,.,6,.,.,.,.,1,1,2,3,3,4,1,1,1,2,2,2
24,4,1,1,2,2,.,2,2,1,3,1,3,2,2,2,3,3,2,3,3,3,3,2,1,3,3,3,1,2,2,2,3,.,.,1,.,.,.,1,1,3,5,3,2,2,2,3,1,2,1
25,2,1,1,.,4,2,.,1,1,3,2,3,1,1,2,1,3,2,2,3,1,3,1,1,3,1,3,2,3,1,2,2,.,2,.,.,.,.,1,2,2,5,2,3,1,3,3,2,2,2
26,2,1,1,.,4,2,.,1,1,3,2,3,1,1,2,1,3,2,2,3,1,3,1,1,3,1,3,2,3,1,2,2,.,2,.,.,.,.,1,2,2,5,2,3,1,3,3,2,2,2
27,3,1,1,.,3,5,.,1,2,3,1,3,1,1,1,2,2,1,1,1,2,2,1,2,4,1,3,1,2,2,1,2,.,4,.,.,.,.,1,1,2,5,2,4,2,1,3,2,1,6
28,5,1,4,.,3,5,.,1,1,1,1,3,3,2,1,2,3,2,3,3,2,3,2,2,2,3,3,3,2,2,2,3,.,.,3,.,.,.,4,2,4,5,4,4,1,2,3,2,1,1
29,5,1,1,.,3,6,.,2,1,3,1,2,1,2,1,2,3,1,4,2,3,2,4,1,4,2,2,3,3,2,2,2,.,1,.,.,.,.,2,5,7,6,4,1,2,3,3,2,1,1
30,3,1,1,3,3,4,.,1,2,1,2,3,2,2,1,4,3,1,3,4,2,3,1,2,4,4,4,3,2,3,2,2,.,2,.,.,.,.,1,4,2,5,3,1,1,3,3,1,1,2
31,2,1,1,.,2,.,1,2,2,2,1,1,1,2,1,3,4,1,4,2,3,3,2,1,4,2,2,2,3,3,1,2,.,2,.,.,.,.,1,1,2,3,4,4,2,3,3,1,2,1
32,4,1,1,.,2,.,2,2,1,3,1,3,2,2,1,3,3,3,3,3,3,3,2,2,3,2,3,2,2,2,2,2,.,6,.,.,.,.,1,1,2,3,4,1,2,2,3,3,2,1
33,5,1,1,2,4,1,.,2,1,4,1,2,1,1,1,2,3,1,2,1,3,2,4,2,3,3,2,3,3,4,2,6,.,.,.,.,.,3,1,5,3,5,5,3,2,2,4,2,2,1
34,3,1,1,3,2,.,1,1,2,4,1,3,1,3,2,3,3,1,4,3,2,2,1,2,4,4,2,3,1,2,1,2,.,2,.,.,.,.,2,1,4,3,4,4,1,3,1,3,2,1
35,3,1,2,3,3,5,.,2,1,3,1,3,1,1,1,4,3,1,3,3,2,2,3,3,4,3,3,3,2,1,1,2,.,2,.,.,.,.,1,1,2,5,2,1,1,1,2,2,2,1
36,4,1,2,3,3,1,.,1,1,2,1,3,1,2,1,3,1,2,3,2,2,2,1,2,3,2,2,3,3,2,2,2,.,2,.,.,.,.,1,1,3,5,3,4,1,1,1,1,2,1
37,5,5,2,4,1,.,6,1,1,1,2,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,1,5,.,.,.,.,5,.,1,5,7,1,5,6,2,5,1,2,1,7
38,3,1,1,2,3,1,.,1,2,1,2,3,3,2,2,1,2,1,3,3,3,3,1,2,4,2,2,2,3,3,1,2,.,2,.,.,.,.,1,1,2,5,4,4,1,3,3,1,2,1
39,2,1,1,.,4,2,.,1,2,2,1,1,1,1,1,3,2,1,3,1,2,3,1,1,2,1,4,1,1,1,1,2,.,2,.,.,.,.,1,2,2,5,2,1,1,2,2,1,2,1
40,5,1,1,.,2,.,2,2,1,3,1,2,2,2,1,4,1,1,3,1,3,3,3,2,4,2,2,2,2,3,3,2,.,2,.,.,.,.,1,1,1,5,4,4,2,2,4,2,1,1
41,4,1,2,.,2,.,1,1,2,1,1,3,2,3,1,3,3,1,3,4,3,3,1,2,1,2,3,3,3,3,2,2,.,6,.,.,.,.,1,2,2,5,5,4,1,2,3,2,2,1
42,4,1,1,2,2,.,2,1,1,2,1,3,1,2,1,2,3,1,4,3,3,3,1,2,4,4,2,3,2,3,1,5,.,.,.,.,1,.,1,1,4,3,5,5,1,1,3,3,1,6
43,5,1,1,2,3,1,.,2,1,1,1,4,2,3,1,3,3,1,4,4,3,3,2,1,3,1,3,3,3,2,3,2,.,2,.,.,.,.,1,1,2,5,5,4,1,1,2,1,1,1
44,5,1,1,2,3,1,.,1,1,1,1,3,3,2,1,2,4,1,4,4,3,3,2,1,3,1,3,3,3,2,3,2,.,2,.,.,.,.,1,1,2,3,5,4,1,1,2,1,1,1
45,4,1,1,.,2,.,2,1,1,3,1,2,2,2,1,3,2,2,3,2,2,3,3,2,3,1,2,3,3,2,1,2,.,6,.,.,.,.,1,2,2,3,3,1,1,2,2,2,2,7
46,5,1,4,.,2,.,1,1,2,4,1,1,1,3,1,1,3,1,2,3,4,2,1,2,3,4,1,3,3,4,2,2,.,1,.,.,.,.,2,5,7,5,5,4,1,3,2,2,1,2
47,3,1,1,2,3,1,.,1,2,3,1,3,3,2,1,3,3,2,3,4,1,3,2,2,2,1,3,2,3,3,3,3,.,.,1,.,.,.,2,2,2,5,3,1,2,1,1,1,2,2
48,3,1,1,2,3,1,.,1,2,4,1,3,1,1,1,3,3,4,4,4,4,3,1,1,3,2,2,2,1,2,2,5,.,.,.,.,6,.,2,2,3,5,2,6,1,3,3,2,1,2
49,3,1,1,2,2,.,1,1,2,3,1,3,1,1,1,1,1,1,3,3,3,1,2,1,2,3,4,3,2,1,1,2,.,1,.,.,.,.,1,1,2,5,4,4,1,3,3,2,2,6
50,3,1,2,.,2,.,2,2,1,2,1,3,1,1,1,3,2,1,2,2,1,2,3,1,4,2,3,3,2,1,1,4,.,.,.,2,.,.,1,3,4,3,2,1,2,2,3,2,1,5
51,2,1,1,.,2,.,1,1,2,3,1,3,1,1,1,3,2,1,3,3,1,2,2,2,2,2,2,2,3,2,2,2,.,1,.,.,.,.,1,2,1,2,2,2,1,1,1,1,2,2
52,4,1,1,3,2,.,2,2,1,4,1,4,3,2,2,4,4,3,3,3,2,3,3,1,3,4,3,3,2,2,1,2,.,2,.,.,.,.,4,2,2,5,3,4,2,3,4,2,1,6
53,2,1,1,.,3,1,.,1,2,3,1,3,1,2,2,2,2,2,3,3,1,2,2,2,3,3,3,3,3,2,3,2,.,3,.,.,.,.,1,1,4,3,2,1,1,2,2,3,2,2
54,4,1,1,2,1,.,1,2,1,3,1,3,2,4,1,2,2,1,3,4,3,3,1,1,2,1,2,3,3,4,2,2,.,2,.,.,.,.,1,1,2,5,2,4,1,3,4,1,1,2
55,3,1,1,.,4,1,.,1,2,3,2,3,3,4,1,2,3,3,3,2,3,4,4,1,4,4,3,3,2,4,3,2,.,1,.,.,.,.,1,4,4,3,3,4,1,2,2,3,2,1
56,3,1,1,2,2,.,2,2,1,4,1,3,1,1,1,1,3,2,3,2,3,2,3,2,2,3,3,3,2,2,3,2,.,2,.,.,.,.,1,1,2,5,2,4,2,1,1,1,1,6
57,2,1,1,.,2,.,6,1,2,1,1,2,1,1,1,3,3,1,2,2,3,3,1,1,3,1,3,1,2,1,1,2,.,2,.,.,.,.,1,2,5,5,1,1,2,1,1,1,2,6
58,2,1,1,2,4,1,.,1,2,4,1,4,1,1,1,2,1,1,4,4,1,2,1,2,1,4,4,4,1,1,1,5,.,.,.,.,6,.,2,1,7,5,3,4,2,3,4,3,2,1
59,5,1,1,2,2,.,5,2,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,.,7,.,.,.,.,1,1,2,5,3,1,1,1,1,1,2,5
60,3,1,1,.,1,.,1,1,2,4,1,3,1,2,2,3,3,2,3,2,1,3,2,2,3,2,3,4,2,4,1,2,.,2,.,.,.,.,1,2,4,3,4,1,2,2,4,3,1,2
61,3,1,1,3,4,1,.,1,2,3,1,3,2,3,2,3,3,3,3,3,3,3,2,2,2,3,3,2,3,3,2,5,.,.,.,.,3,.,1,2,4,3,3,3,1,1,2,3,1,1
62,5,1,2,.,3,5,.,1,1,2,1,3,2,2,2,2,3,2,3,2,3,3,2,2,3,2,3,3,3,2,3,2,.,2,.,.,.,.,2,2,7,3,4,4,1,2,2,3,2,2
63,3,1,1,.,3,3,.,1,1,3,1,2,2,3,2,3,3,2,3,3,3,2,2,2,4,3,3,3,3,3,3,3,.,.,1,.,.,.,2,2,2,3,3,5,1,2,3,1,2,4
64,4,1,1,2,4,1,.,2,1,3,1,1,1,1,1,1,2,1,4,3,3,2,2,2,4,1,3,3,2,3,2,2,.,2,.,.,.,.,4,2,2,5,4,3,1,2,2,3,1,1
65,3,1,1,2,3,2,.,1,2,3,1,3,2,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,2,2,.,3,.,.,.,.,1,1,4,5,2,4,2,2,3,1,2,1
66,3,1,1,.,3,2,.,1,2,3,1,2,1,1,1,2,2,3,2,1,1,3,3,3,3,3,3,3,3,3,2,2,.,2,.,.,.,.,1,1,4,5,4,1,1,2,3,2,2,2
67,2,1,1,.,4,1,.,1,2,4,1,2,2,2,3,4,4,2,2,2,2,3,2,2,2,2,3,2,3,2,2,2,.,1,.,.,.,.,1,2,2,3,3,5,1,1,1,1,2,5
68,1,1,1,.,3,2,.,1,1,1,1,1,2,2,1,1,2,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,.,.,1,.,.,.,2,1,4,6,1,3,1,3,4,1,2,1
69,3,1,1,.,4,1,.,1,1,2,1,1,1,1,1,2,3,1,3,4,2,3,1,1,1,1,1,4,2,4,1,5,.,.,.,.,6,.,2,5,5,3,2,1,1,3,3,2,2,1
70,3,1,1,.,3,5,.,1,2,3,1,3,4,3,1,3,1,3,4,2,2,3,4,1,4,2,1,4,4,3,1,2,.,2,.,.,.,.,4,2,2,5,5,1,1,3,4,2,2,2
71,3,1,2,.,2,.,2,2,1,2,1,2,3,4,3,4,3,2,4,4,3,4,3,4,4,1,2,4,2,3,1,3,.,.,1,.,.,.,2,2,2,3,5,5,1,3,2,2,2,2
72,4,1,1,2,2,.,3,2,1,3,1,3,2,3,2,4,4,4,4,3,2,4,4,3,4,4,3,4,3,4,4,2,.,2,.,.,.,.,2,3,4,3,5,1,2,2,3,1,2,1
73,4,1,1,.,2,.,5,2,1,2,1,3,2,3,1,4,3,2,4,3,2,3,2,2,3,3,3,3,2,4,2,5,.,.,.,.,3,.,2,1,2,5,3,1,1,3,3,2,1,6
74,2,1,1,3,2,.,1,1,2,1,1,3,1,1,1,3,1,1,4,1,1,1,1,1,3,1,3,2,3,3,2,2,.,2,.,.,.,.,4,2,6,5,3,4,2,2,4,1,2,4
75,5,1,1,.,4,1,.,1,2,3,1,3,3,4,2,2,1,2,3,4,4,3,2,1,4,1,3,3,3,2,2,3,.,.,1,.,.,.,4,2,2,3,4,1,2,2,1,1,2,1
76,3,1,2,.,3,1,.,1,2,3,1,3,1,3,1,2,3,1,2,1,3,2,1,1,2,1,3,3,2,1,1,2,.,2,.,.,.,.,2,2,2,3,2,1,1,3,2,1,2,2
77,3,1,1,.,4,2,.,1,2,2,1,4,1,1,1,2,3,1,2,1,1,2,1,1,4,1,3,2,2,2,1,2,.,2,.,.,.,.,1,2,2,5,3,4,1,2,3,2,2,5
78,4,1,1,.,2,.,2,2,1,2,1,4,2,2,2,3,3,1,4,4,2,3,3,3,4,2,3,2,1,1,1,2,.,1,.,.,.,.,4,2,2,1,4,1,2,3,3,2,2,4
79,3,1,1,2,4,1,.,1,2,4,1,3,1,1,1,2,1,1,2,3,3,3,1,1,3,2,3,2,2,3,1,5,.,.,.,.,3,.,2,2,2,5,3,2,2,2,4,3,2,1
80,3,1,2,.,3,1,.,1,1,1,2,3,2,3,2,3,3,2,4,4,2,3,3,3,3,2,2,2,2,2,3,5,.,.,.,.,7,.,1,3,1,3,3,1,1,2,2,2,2,2
81,3,1,2,.,4,1,.,1,2,3,1,1,1,3,1,1,3,1,3,2,3,3,1,1,3,3,3,4,3,4,1,2,.,2,.,.,.,.,1,1,2,5,4,1,1,2,4,2,2,1
82,1,1,1,.,4,1,.,1,2,4,1,1,1,1,1,1,1,1,4,1,1,3,1,1,4,3,4,2,2,2,1,2,.,3,.,.,.,.,1,3,5,5,5,4,2,1,1,1,1,4
83,3,1,1,.,3,5,.,1,2,3,2,1,2,3,1,3,2,1,3,3,3,3,1,1,4,1,2,2,3,3,1,2,.,1,.,.,.,.,1,1,6,3,4,4,1,4,4,1,1,2
84,5,1,1,.,3,1,.,2,1,1,2,2,1,1,1,1,1,1,3,3,2,3,3,2,3,1,2,4,2,3,2,2,.,2,.,.,.,.,1,2,3,5,5,3,1,3,3,2,1,1
85,1,1,1,2,4,2,.,1,2,3,1,4,1,1,1,1,1,1,2,4,3,1,2,1,3,1,2,4,1,1,2,2,.,7,.,.,.,.,1,1,2,3,1,1,1,3,3,3,2,4
86,5,1,1,2,3,1,.,2,1,1,2,2,2,4,2,3,1,1,1,2,3,4,3,4,4,1,4,3,3,2,3,5,.,.,.,.,7,.,4,2,5,3,4,5,1,3,3,2,1,5
87,3,1,4,.,3,2,.,1,2,2,1,2,2,3,2,2,2,2,2,2,2,3,2,3,2,3,2,1,2,2,2,2,.,2,.,.,.,.,1,1,2,1,3,4,1,3,3,2,2,1
88,2,1,2,4,2,.,1,1,2,3,1,2,1,1,1,3,1,1,1,3,2,2,1,1,3,1,1,3,1,1,2,1,2,.,.,.,.,.,2,2,1,5,2,4,1,3,3,2,2,2
89,5,1,2,3,2,.,5,2,1,2,1,3,2,2,2,3,2,2,1,2,1,2,3,2,4,3,4,3,2,3,2,2,.,2,.,.,.,.,4,4,2,6,4,3,2,2,3,2,1,2
90,2,1,1,.,3,2,.,2,1,2,2,3,2,3,1,3,2,2,3,3,3,3,3,2,4,3,3,3,3,4,1,2,.,2,.,.,.,.,1,2,2,3,2,4,1,3,3,1,2,2
91,3,4,1,.,2,.,1,2,1,2,1,4,4,4,1,3,2,3,2,1,3,3,4,3,4,3,1,4,4,4,3,5,.,.,.,.,7,.,2,1,2,5,4,1,1,3,3,2,2,1
92,5,1,1,2,3,5,.,1,1,3,1,3,3,2,2,2,3,1,4,3,2,3,3,2,4,2,3,3,2,1,3,2,.,2,.,.,.,.,4,2,2,3,4,1,1,2,2,2,2,1
93,4,1,1,3,3,5,.,1,2,3,1,3,1,4,2,4,3,1,2,1,3,2,1,4,3,1,1,2,2,1,1,5,.,.,.,.,7,.,2,2,5,3,2,1,1,3,3,3,2,4
94,4,1,2,.,3,5,.,1,2,2,1,3,1,3,3,3,2,1,3,3,3,2,2,1,3,1,2,2,3,3,2,2,.,2,.,.,.,.,1,1,2,3,3,3,1,3,3,2,1,6
